,name,image,address,url,tuition_fee_min,tuition_fee_max,tuition_fee_currency,toefl,ielts,ielts_each_band,det,pte,intakes,duration
158,University of Oxford,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Oxford.jpg,Uk,http://www.ox.ac.uk/,25000.0,38000.0,,110.0,7.0,7.0,,70.0,Sept/Jan/May,9-12 months or 2years
159,University of Notingham,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Notingham.png,Uk,http://www.notingham.ac.uk/,16000.0,18000.0,,79.0,6.5,6.0,,65.0,Sept/Jan/May,1 year
160,University of Edinburgh,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_Edinburgh.png,Uk,http://www.ed.ac.uk/,24000.0,27000.0,,100.0,7.0,6.0,,56.0,Sept/Jan/May,12 months
161,"Queen Mary, University of London",https://pathfinders-media.s3.amazonaws.com/university-logos/Queens_Mary_University_of_London.png,Uk,http://www.qmul.ac.uk/,19000.0,28000.0,,92.0,6.5,6.0,,76.0,Sept,12 months
162,University of New South Wales,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_New_South_Wales.png,Australia,https://www.unsw.edu.au/,23000.0,31000.0,,94.0,7.0,6.0,,65.0,nan,1 or 2 years
163,University of South Australia,https://pathfinders-media.s3.amazonaws.com/university-logos/University_of_South_Australia.png,Australia,http://www.unisa.edu.au/,29000.0,43000.0,,60.0,6.5,6.0,,58.0,nan,1 or 2 years
164,Swinburne University of Technology,https://pathfinders-media.s3.amazonaws.com/university-logos/Swinburne_University_of_Technology.png,Australia,http://www.swinburne.edu.au/,29000.0,32000.0,,79.0,6.5,6.0,,58.0,nan,2 years
165,Monash University,https://pathfinders-media.s3.amazonaws.com/university-logos/Monash_University.png,Australia,http://www.monash.edu.au/,34000.0,48000.0,,79.0,6.5,6.0,,58.0,nan,1 or 2 years
166,International College of Hotel Management,https://pathfinders-media.s3.amazonaws.com/university-logos/International_College_of_Hotel_Management.png,Australia,http://www.ichm.edu.au/,34000.0,36000.0,,79.0,6.0,5.5,,56.0,nan,2 years
167,Bond University,https://pathfinders-media.s3.amazonaws.com/university-logos/Bond_University.jpg,Australia,http://www.bond.edu.au/,35000.0,56000.0,,60.0,6.0,5.5,,65.0,nan,16 months - 2years
